epoch,accuracy,loss,val_accuracy,val_loss
0,0.7804999947547913,0.6314014196395874,0.8924999833106995,0.27848106622695923
1,0.8569999933242798,0.3524366319179535,0.8962500095367432,0.2616780996322632
2,0.887499988079071,0.30578750371932983,0.8837500214576721,0.2831394076347351
3,0.9110000133514404,0.2371300309896469,0.84375,0.41238516569137573
4,0.9164999723434448,0.22818268835544586,0.8987500071525574,0.27477991580963135
5,0.925000011920929,0.20738475024700165,0.8774999976158142,0.3705850839614868
6,0.9290000200271606,0.18287134170532227,0.8637499809265137,0.42191168665885925
7,0.9355000257492065,0.17491070926189423,0.9049999713897705,0.287601500749588
8,0.9424999952316284,0.14997044205665588,0.9049999713897705,0.32252559065818787
9,0.9509999752044678,0.13275237381458282,0.8974999785423279,0.39583468437194824
